word
word,	desc,	level,	length
whittle,	cut small bits or pare shavings from,	3,	7
repine,	express discontent,	3,	6
flay,	strip the skin off,	3,	4
larder,	a small storeroom for storing foods or wines,	3,	6
threadbare,	thin and tattered with age,	3,	10
grisly,	shockingly repellent inspiring horror,	3,	6
untoward,	not in keeping with accepted standards of what is proper,	3,	8
idiosyncrasy,	a behavioral attribute peculiar to an individual,	3,	12
quip,	make jokes or witty remarks,	3,	4
blatant,	without any attempt at concealment completely obvious,	3,	7
stanch,	stop the flow of a liquid,	3,	6
incongruity,	the quality of disagreeing,	3,	11
perfidious,	tending to betray,	3,	10
platitude,	a trite or obvious remark,	3,	9
revelry,	unrestrained merrymaking,	3,	7
delve,	turn up loosen or remove earth,	3,	5
extenuate,	lessen or to try to lessen the seriousness or degree of,	3,	9
polemic,	a verbal or written attack especially of a belief or dogma,	3,	7
enrapture,	hold spellbound,	3,	9
virtuoso,	someone who is dazzlingly skilled in any field,	3,	8
glower,	look angry or sullen as if to signal disapproval,	3,	6
mundane,	found in the ordinary course of events,	3,	7
fatuous,	devoid of intelligence,	3,	7
incorrigible,	impervious to correction by punishment,	3,	12
postulate,	maintain or assert,	3,	9
gist,	the central meaning or theme of a speech or literary work,	3,	4
vociferous,	conspicuously and offensively loud,	3,	10
purvey,	supply with provisions,	3,	6
baleful,	deadly or sinister,	3,	7
gibe,	laugh at with contempt and derision,	3,	4
dyspeptic,	irritable as if suffering from indigestion,	3,	9
prude,	a person excessively concerned about propriety and decorum,	3,	5
luminary,	a celebrity who is an inspiration to others,	3,	8
amenable,	disposed or willing to comply,	3,	8
willful,	habitually disposed to disobedience and opposition,	3,	7
overbearing,	having or showing arrogant superiority,	3,	11
dais,	a platform raised above the surrounding level,	3,	4
automate,	operate or make run by machines rather than human action,	3,	8
enervate,	weaken physically mentally or morally,	3,	8
wheedle,	influence or urge by gentle urging caressing or flattering,	3,	7
gusto,	vigorous and enthusiastic enjoyment,	3,	5
bouillon,	a clear seasoned broth,	3,	8
omniscient,	knowing seeing or understanding everything,	3,	10
apostate,	not faithful to religion or party or cause,	3,	8
carrion,	the dead and rotting body of an animal unfit for human food,	3,	7
emolument,	compensation received by virtue of holding an office,	3,	9
ungainly,	lacking grace in movement or posture,	3,	8
impiety,	unrighteousness by virtue of lacking respect for a god,	3,	7
decadence,	the state of being degenerate in mental or moral qualities,	3,	9
homily,	a sermon on a moral or religious topic,	3,	6
avocation,	an auxiliary activity,	3,	9
circumvent,	avoid or try to avoid fulfilling answering or performing,	3,	10
syllogism,	reasoning in which a conclusion is derived from two premises,	3,	9
collation,	assembling in proper numerical or logical sequence,	3,	9
haggle,	wrangle as over a price or terms of an agreement,	3,	6
waylay,	wait in hiding to attack,	3,	6
savant,	a learned person,	3,	6
cohort,	a group of people having approximately the same age,	3,	6
unction,	excessive but superficial compliments with affected charm,	3,	7
adjure,	command solemnly,	3,	6
acrimony,	a rough and bitter manner,	3,	8
clarion,	loud and clear,	3,	7
turbid,	clouded as with sediment,	3,	6
cupidity,	extreme greed for material wealth,	3,	8
disaffected,	discontented as toward authority,	3,	11
preternatural,	surpassing the ordinary or normal,	3,	13
eschew,	avoid and stay away from deliberately,	3,	6
expatiate,	add details to clarify an idea,	3,	9
didactic,	instructive especially excessively,	3,	8
sinuous,	curved or curving in and out,	3,	7
rancor,	a feeling of deep and bitter anger and illwill,	3,	6
puissant,	powerful,	3,	8
homespun,	characteristic of country life,	3,	8
embroil,	force into some kind of situation or course of action,	3,	7
pathological,	caused by or evidencing a mentally disturbed condition,	3,	12
resonant,	characterized by a loud deep sound,	3,	8
libretto,	the words of an opera or musical play,	3,	8
flail,	thrash about,	3,	5
bandy,	discuss lightly,	3,	5
gratis,	costing nothing,	3,	6
upshot,	a phenomenon that is caused by some previous phenomenon,	3,	6
aphorism,	a short pithy instructive saying,	3,	8
redoubtable,	worthy of respect or honor,	3,	11
corpulent,	excessively large,	3,	9
benighted,	lacking enlightenment or knowledge or culture,	3,	9
sententious,	abounding in or given to pompous or aphoristic moralizing,	3,	11
cabal,	a clique that seeks power usually through intrigue,	3,	5
paraphernalia,	equipment consisting of miscellaneous articles,	3,	13
vitiate,	make imperfect,	3,	7
adulation,	exaggerated flattery or praise,	3,	9
quaff,	swallow hurriedly or greedily or in one draught,	3,	5
unassuming,	not arrogant,	3,	10
libertine,	a dissolute person,	3,	9
maul,	injure badly,	3,	4
adage,	a condensed but memorable saying embodying an important fact,	3,	5
expostulation,	the act of expressing earnest opposition or protest,	3,	13
tawdry,	tastelessly showy,	3,	6
trite,	repeated too often overfamiliar through overuse,	3,	5
hireling,	a person who works only for money,	3,	8
ensconce,	fix firmly,	3,	8
egregious,	conspicuously and outrageously bad or reprehensible,	3,	9
cogent,	powerfully persuasive,	3,	6
incisive,	demonstrating ability to recognize or draw fine distinctions,	3,	8
errant,	straying from the right course or from accepted standards,	3,	6
sedulous,	marked by care and persistent effort,	3,	8
incandescent,	characterized by ardent emotion intensity or brilliance,	3,	12
derelict,	in deplorable condition,	3,	8
entomology,	the branch of zoology that studies insects,	3,	10
execrable,	unequivocally detestable,	3,	9
sluice,	pour as if from a conduit that carries a rapid flow of water,	3,	6
moot,	of no legal significance as having been previously decided,	3,	4
evanescent,	shortlived tending to vanish or disappear,	3,	10
vat,	a large open vessel for holding or storing liquids,	3,	3
dapper,	marked by uptodateness in dress and manners,	3,	6
asperity,	harshness of manner,	3,	8
flair,	a natural talent,	3,	5
mote,	a tiny piece of anything,	3,	4
circumspect,	careful to consider potential consequences and avoid risk,	3,	11
inimical,	tending to obstruct or cause harm,	3,	8
apropos,	of a suitable fitting or pertinent nature,	3,	7
gruel,	a thin porridge,	3,	5
gentility,	elegance by virtue of fineness of manner and expression,	3,	9
disapprobation,	an expression of strong disapproval,	3,	14
cameo,	engraving or carving in low relief on a stone,	3,	5
gouge,	swindle obtain by coercion,	3,	5
oratorio,	a musical composition for voices and orchestra,	3,	8
inclement,	severe of weather,	3,	9
scintilla,	a tiny or scarcely detectable amount,	3,	9
confluence,	a flowing together,	3,	10
squalor,	sordid dirtiness,	3,	7
stricture,	severe criticism,	3,	9
emblazon,	decorate with heraldic arms,	3,	8
augury,	an event indicating important things to come,	3,	6
abut,	lie adjacent to another or share a boundary,	3,	4
banal,	repeated too often overfamiliar through overuse,	3,	5
congeal,	solidify thicken or come together,	3,	7
pilfer,	make off with belongings of others,	3,	6
malcontent,	a person who is unsatisfied or disgusted,	3,	10
sublimate,	direct energy or urges into useful activities,	3,	9
eugenic,	causing improvement in the offspring produced,	3,	7
lineament,	the characteristic parts of a persons face,	3,	9
firebrand,	someone who deliberately foments trouble,	3,	9
fiasco,	a complete failure or collapse,	3,	6
foolhardy,	marked by defiant disregard for danger or consequences,	3,	9
retrench,	tighten ones belt use resources carefully,	3,	8
ulterior,	lying beyond what is openly revealed or avowed,	3,	8
equable,	not varying,	3,	7
inured,	made tough by habitual exposure,	3,	6
invidious,	containing or implying a slight or showing prejudice,	3,	9
unmitigated,	not diminished or moderated in intensity or severity,	3,	11
concomitant,	an event or situation that happens at the same time,	3,	11
cozen,	cheat or trick,	3,	5
phlegmatic,	showing little emotion,	3,	10
dormer,	a gabled extension built out from a sloping roof,	3,	6
pontifical,	denoting or governed by or relating to a bishop or bishops,	3,	10
disport,	occupy in an agreeable entertaining or pleasant fashion,	3,	7
apologist,	a person who argues to defend some policy or institution,	3,	9
abeyance,	temporary cessation or suspension,	3,	8
enclave,	an enclosed territory that is culturally distinct,	3,	7
improvident,	not supplying something useful for the future,	3,	11
disquisition,	an elaborate analytical or explanatory essay or discussion,	3,	12
categorical,	not modified or restricted by reservations,	3,	11
placate,	cause to be more favorably inclined,	3,	7
redolent,	serving to bring to mind,	3,	8
felicitous,	exhibiting an agreeably appropriate manner or style,	3,	10
gusty,	blowing in puffs or short intermittent blasts,	3,	5
natty,	marked by uptodateness in dress and manners,	3,	5
pacifist,	opposed to war,	3,	8
buxom,	healthily plump and vigorous,	3,	5
heyday,	the period of greatest prosperity or productivity,	3,	6
herculean,	displaying superhuman strength or power,	3,	9
burgeon,	grow and flourish,	3,	7
crone,	an ugly evillooking old woman,	3,	5
prognosticate,	make a prediction about tell in advance,	3,	13
lout,	an awkward foolish person,	3,	4
simper,	smile in an insincere unnatural or coy way,	3,	6
iniquitous,	characterized by injustice or wickedness,	3,	10
rile,	disturb especially by minor irritations,	3,	4
sentient,	endowed with feeling and unstructured consciousness,	3,	8
garish,	tastelessly showy,	3,	6
readjustment,	the act of correcting again,	3,	12
erstwhile,	belonging to some prior time,	3,	9
aquiline,	curved down like an eagles beak,	3,	8
bilious,	irritable as if suffering from indigestion,	3,	7
vilify,	spread negative information about,	3,	6
nuance,	a subtle difference in meaning or opinion or attitude,	3,	6
gawk,	look with amazement,	3,	4
refectory,	a communal dininghall usually in a monastery,	3,	9
palatial,	suitable for or like a large and stately residence,	3,	8
mincing,	affectedly dainty or refined,	3,	7
trenchant,	having keenness and forcefulness and penetration in thought,	3,	9
emboss,	raise in a relief,	3,	6
proletarian,	a member of the working class,	3,	11
careen,	pitching dangerously to one side,	3,	6
debacle,	a sound defeat,	3,	7
sycophant,	a person who tries to please someone to gain an advantage,	3,	9
crabbed,	annoyed and irritable,	3,	7
archetype,	something that serves as a model,	3,	9
cryptic,	of an obscure nature,	3,	7
penchant,	a strong liking or preference,	3,	8
bauble,	cheap showy jewelry or ornament,	3,	6
mountebank,	a flamboyant deceiver,	3,	10
fawning,	attempting to win favor by flattery,	3,	7
hummock,	a small natural mound,	3,	7
apotheosis,	model of excellence or perfection of a kind,	3,	10
discretionary,	not earmarked available for use as needed,	3,	13
pithy,	concise and full of meaning,	3,	5
comport,	behave in a certain manner,	3,	7
checkered,	marked by changeable fortune,	3,	9
ambrosia,	the food and drink of the gods,	3,	8
factious,	dissenting with the majority opinion,	3,	8
disgorge,	cause or allow to flow or run out or over,	3,	8
filch,	make off with belongings of others,	3,	5
wraith,	a ghostly figure especially one seen shortly before death,	3,	6
demonstrable,	capable of being proved,	3,	12
pertinacious,	stubbornly unyielding,	3,	12
emend,	make corrections to,	3,	5
laggard,	someone who takes more time than necessary,	3,	7
waffle,	pause or hold back in uncertainty or unwillingness,	3,	6
loquacious,	full of trivial conversation,	3,	10
venial,	easily excused or forgiven,	3,	6
peon,	a laborer who is obliged to do menial work,	3,	4
effulgence,	the quality of being bright and sending out rays of light,	3,	10
lode,	a deposit of valuable ore,	3,	4
fanfare,	a gaudy outward display,	3,	7
dilettante,	showing frivolous or superficial interest amateurish,	3,	10
pusillanimous,	lacking in courage strength and resolution,	3,	13
ingrained,	deeply rooted firmly fixed or held,	3,	9
quagmire,	a soft wet area of lowlying land that sinks underfoot,	3,	8
reprobation,	severe disapproval,	3,	11
mannered,	having unnatural behavioral attributes,	3,	8
squeamish,	easily disturbed or disgusted by unpleasant things,	3,	9
proclivity,	a natural inclination,	3,	10
miserly,	characterized by or indicative of lack of generosity,	3,	7
vapid,	lacking significance or liveliness or spirit or zest,	3,	5
mercurial,	liable to sudden unpredictable change,	3,	9
perspicuous,	transparently clear easily understandable,	3,	11
nonplus,	be a mystery or bewildering to,	3,	7
enamor,	attract,	3,	6
hackneyed,	repeated too often overfamiliar through overuse,	3,	9
spate,	a large number or amount or extent,	3,	5
pedagogue,	someone who educates young people,	3,	9
acme,	the highest level or degree attainable,	3,	4
masticate,	bite and grind with the teeth,	3,	9
sinecure,	a job that involves minimal duties,	3,	8
indite,	produce a literary work,	3,	6
emetic,	a medicine that induces nausea and vomiting,	3,	6
temporize,	draw out a discussion or process in order to gain time,	3,	9
unimpeachable,	beyond doubt or reproach,	3,	13
genesis,	a coming into being,	3,	7
mordant,	harshly ironic or sinister,	3,	7
smattering,	a small number or amount,	3,	10
suavity,	the quality of being charming and gracious in manner,	3,	7
stentorian,	very loud or booming,	3,	10
junket,	a trip taken by an official at public expense,	3,	6
appurtenance,	a supplementary component that improves capability,	3,	12
nostrum,	patent medicine whose efficacy is questionable,	3,	7
immure,	lock up or confine in or as in a jail,	3,	6
astringent,	acidic or bitter in taste or smell,	3,	10
unfaltering,	marked by firm determination or resolution not shakable,	3,	11
tutelage,	attention and management implying responsibility for safety,	3,	8
testator,	a person who makes a will,	3,	8
elysian,	of such excellence as to suggest inspiration by the gods,	3,	7
fulminate,	criticize severely,	3,	9
fractious,	easily irritated or annoyed,	3,	9
pummel,	strike usually with the fist,	3,	6
manumit,	free from slavery or servitude,	3,	7
unexceptionable,	completely acceptable not open to reproach,	3,	15
triumvirate,	a group of three people responsible for civil authority,	3,	11
sybarite,	a person addicted to luxury and pleasures of the senses,	3,	8
jibe,	be compatible similar or consistent,	3,	4
magisterial,	offensively selfassured or exercising unwarranted power,	3,	11
roseate,	of something having a dusty purplish pink color,	3,	7
obloquy,	abusive malicious and condemnatory language,	3,	7
hoodwink,	influence by slyness,	3,	8
striate,	mark with stripes of contrasting color,	3,	7
arrogate,	seize and take control without authority,	3,	8
rarefied,	of high moral or intellectual value,	3,	8
chary,	characterized by great caution,	3,	5
credo,	any system of principles or beliefs,	3,	5
superannuated,	too old to be useful,	3,	13
impolitic,	lacking tact shrewdness or prudence,	3,	9
aspersion,	a disparaging remark,	3,	9
abysmal,	exceptionally bad or displeasing,	4,	7
poignancy,	a quality that arouses emotions especially pity or sorrow,	4,	9
stilted,	artificially formal or stiff,	4,	7
effete,	excessively selfindulgent affected or decadent,	4,	6
provender,	food for domestic livestock,	4,	9
endemic,	of a disease constantly present in a particular locality,	4,	7
jocund,	full of or showing highspirited merriment,	4,	6
procedural,	of or relating to processes,	4,	10
rakish,	marked by a carefree unconventionality or disreputableness,	4,	6
skittish,	unpredictably excitable especially of horses,	4,	8
peroration,	a flowery and highly rhetorical address,	4,	10
nonentity,	a person of no influence,	4,	9
abstemious,	marked by temperance in indulgence,	4,	10
viscid,	having the sticky properties of an adhesive,	4,	6
doggerel,	a comic verse of irregular measure,	4,	8
sleight,	adroitness in using the hands,	4,	7
rubric,	category name,	4,	6
plenitude,	a full supply,	4,	9
rebus,	a puzzle consisting of pictures representing words,	4,	5
wizened,	lean and wrinkled by shrinkage as from age or illness,	4,	7
whorl,	a round shape formed by a series of concentric circles,	4,	5
fracas,	a noisy quarrel,	4,	6
iconoclast,	someone who attacks cherished ideas or institutions,	4,	10
saturnine,	bitter or scornful,	4,	9
madrigal,	an unaccompanied partsong for several voices,	4,	8
discursive,	tending to cover a wide range of subjects,	4,	10
zealot,	a fervent and even militant proponent of something,	4,	6
moribund,	not growing or changing without force or vitality,	4,	8
modicum,	a small or moderate or token amount,	4,	7
connotation,	an idea that is implied or suggested,	4,	11
adventitious,	associated by chance and not an integral part,	4,	12
recondite,	difficult to understand,	4,	9
zephyr,	a slight wind,	4,	6
countermand,	cancel officially,	4,	11
captious,	tending to find and call attention to faults,	4,	8
cognate,	having the same ancestral language,	4,	7
forebear,	a person from whom you are descended,	4,	8
cadaverous,	very thin especially from disease or hunger or cold,	4,	10
foist,	force onto another,	4,	5
dotage,	mental infirmity as a consequence of old age,	4,	6
nexus,	a connected series or group,	4,	5
choleric,	characterized by anger,	4,	8
garble,	distort or make false by mutilation or addition,	4,	6
bucolic,	idyllically rustic,	4,	7
denouement,	the outcome of a complex sequence of events,	4,	10
animus,	a feeling of ill will arousing active hostility,	4,	6
overweening,	unrestrained especially with regard to feelings,	4,	11
tyro,	someone new to a field or activity,	4,	4
preen,	dress or groom with elaborate care,	4,	5
largesse,	liberality in bestowing gifts,	4,	8
retentive,	good at remembering,	4,	9
unconscionable,	greatly exceeding bounds of reason or moderation,	4,	14
badinage,	frivolous banter,	4,	8
insensate,	devoid of feeling and consciousness and animation,	4,	9
sherbet,	a frozen dessert made primarily of fruit juice and sugar,	4,	7
beatific,	resembling or befitting an angel or saint,	4,	8
bemuse,	cause to be confused emotionally,	4,	6
microcosm,	a miniature model of something,	4,	9
factitious,	not produced by natural forces artificial or fake,	4,	10
gestate,	develop in the mind have the idea for,	4,	7
traduce,	speak unfavorably about,	4,	7
sextant,	an instrument for measuring angular distance,	4,	7
coiffure,	the arrangement of the hair,	4,	8
malleable,	easily influenced,	4,	9
rococo,	having excessive asymmetrical ornamentation,	4,	6
fructify,	become productive or fruitful,	4,	8
nihilist,	someone who rejects all theories of morality,	4,	8
ellipsis,	a mark indicating that words have been omitted,	4,	8
accolade,	a tangible symbol signifying approval or distinction,	4,	8
codicil,	a supplement to a will,	4,	7
roil,	be agitated,	4,	4
grandiloquent,	lofty in style,	4,	13
inconsequential,	lacking worth or importance,	4,	15
effervescence,	the property of giving off bubbles,	4,	13
stultify,	deprive of strength or efficiency make useless or worthless,	4,	8
tureen,	large deep serving dish with a cover,	4,	6
pellucid,	transparently clear easily understandable,	4,	8
euphony,	any pleasing and harmonious sounds,	4,	7
apocryphal,	being of questionable authenticity,	4,	10
veracious,	precisely accurate,	4,	9
pendulous,	hanging loosely or bending downward,	4,	9
exegesis,	an explanation or critical interpretation,	4,	8
effluvium,	a foulsmelling outflow or vapor,	4,	9
apposite,	being of striking appropriateness and pertinence,	4,	8
viscous,	having the sticky properties of an adhesive,	4,	7
misanthrope,	someone who dislikes people in general,	4,	11
vintner,	someone who makes wine,	4,	7
halcyon,	idyllically calm and peaceful suggesting happy tranquility,	4,	7
anthropomorphic,	suggesting human features for animals or inanimate things,	4,	15
turgid,	ostentatiously lofty in style,	4,	6
malaise,	a feeling of mild sickness or depression,	4,	7
polemical,	of or involving dispute or controversy,	4,	9
gadfly,	a persistently annoying person,	4,	6
atavism,	a reappearance of an earlier characteristic,	4,	7
contusion,	an injury in which the skin is not broken,	4,	9
parsimonious,	excessively unwilling to spend,	4,	12
dulcet,	pleasing to the ear,	4,	6
reprise,	a repetition of a short musical passage,	4,	7
anodyne,	capable of relieving pain,	4,	7
bemused,	perplexed by many conflicting situations or statements,	4,	7
echo,	the reflection of sound waves,	1,	4
breeze,	a gentle and light wind,	2,	6
cycle,	A series of events that repeat in a particular order.,	2,	5
pyramid,	A structure with a square or triangular base and four triangular sides. This is used as a tomb or monument.,	2,	7
cyber,	Relating to computers / information technology / electronic communication / virtual reality.,	1,	5
lyric,	The words of a song or poem.,	1,	5
cynical,	Believing that people are motivated by self-interest; distrustful of human sincerity.,	4,	7
synergy,	The combined or cooperative action of two or more elements where the result is greater than the sum of their individual effects.,	3,	7
symbol,	A mark or character used as a conventional representation of an object / function / process.,	1,	6
borrower,	Someone who takes and uses something (usually money) with the intention of returning it.,	2,	8
different,	Not alike in character or quality; distinct in nature; dissimilar.,	2,	9
banana,	A long / curved fruit with a soft flesh and a yellow skin.,	1,	6
agitate,	To stir or shake / often with the intention of causing disorder or excitement.,	4,	7
jamboree,	A large /festive gathering or celebration / often involving various activities.,	4,	8
biking,	a term that refers to the activity of riding a bicycle.,	1,	6
name,	A word or set of words by which a person / animal / place / thing is known / addressed or referred to.,	1,	4
xcode,	A development environment for creating software applications / particularly for Apple devices.,	1,	5
interact,	To communicate or engage with others through mutual actions.,	1,	8
ache,	A continuous / dull pain.,	1,	4
cure,	A substance or treatment that brings about the end of a disease or ailment.,	1,	4
dart,	A small / pointed missile that can be thrown or shot.,	1,	4
exit,	A way out or passage / especially from a building.,	1,	4
fade,	To gradually lose brightness / color / clarity.,	1,	4
halt,	To bring or come to a stop.,	1,	4
icon,	A symbol or representation that is widely recognized.,	1,	4
jolt,	A sudden / sharp jerk or shake.,	2,	4
kiss,	To touch with the lips as a sign of love or greeting.,	1,	4
lend,	To grant the temporary use of something.,	1,	4
mint,	A plant with aromatic leaves (often used for flavoring).,	1,	4
nest,	A structure built by birds to hold eggs and provide a sheltered space for offspring.,	1,	4
omit,	To leave out or exclude.,	1,	4
pave,	To cover a surface with a layer of stone /concrete / asphalt / etc.,	1,	4
ride,	To sit on and control the movement of an animal or vehicle.,	1,	4
seed,	The mature fertilized ovule of a flowering plant.,	1,	4
urge,	A strong desire or impulse.,	1,	4
vast,	Extremely large or extensive.,	1,	4
wilt,	To become limp or drooping / often due to lack of water.,	1,	4
xray,	A form of electromagnetic radiation used for imaging the inside of objects.,	1,	4
yoga,	A system of physical and mental exercises aimed at achieving balance and well-being.,	1,	4
zoom,	o move rapidly with a humming or buzzing sound.,	1,	4
object,	A material thing that can be seen and touched (typically of a solid form).,	1,	6
occupy,	To fill or take up a space or time; to reside or dwell in a place.,	2,	6
outlet,	A point in a system for the release or expression of something (such as energy or emotions).,	3,	6
delivery,	The act of bringing goods or services to a particular place or person.,	2,	8
zealous,	Having or showing great enthusiasm or passion for a cause or goal.,	4,	7
zeroize,	To set to zero or erase data / often in the context of cryptography or computing.,	4,	7
pondered,	Reflected on or considered carefully; thought about deeply.,	3,	8
severely,	In a manner that is very strict / harsh / demanding; extremely.,	2,	8
envelope,	A flat / usually rectangular paper container used to enclose a letter or document.,	2,	8
polytype,	A printmaking technique in which a raised image is inked and then pressed into paper.,	4,	8
iraq,	A country in Western Asia.,	4,	4
miaowq,	This is a less common word and is often used as a playful variation of the sound a cat makes (similar to miaow or meow.),	4,	6
suq,	An open-air marketplace or commercial quarter in an Arab city.,	4,	3
epic,	A long narrative poem (typically one derived from ancient oral tradition) narrating the deeds and adventures of heroic or legendary figures.,	1,	4
basic,	Forming an essential foundation or starting point; fundamental.,	2,	5
comic,	A form of entertainment that uses humor (such as jokes and cartoons) to amuse an audience.,	2,	5
traffic,	Vehicles moving on a road or public highway / the movement of ships / trains / aircraft.,	1,	7
logic,	Reasoning conducted or assessed according to strict principles of validity.,	1,	5
electric,	Relating to or powered by electricity.,	2,	8
music,	An art form and cultural activity whose medium is sound.,	1,	5
specific,	Clearly defined or identified; precise.,	3,	8
plastic,	A synthetic material made from a wide range of organic polymers that can be molded into shape while soft and then set into a rigid or slightly elastic form.,	2,	7
civic,	Relating to a city or town (especially its administration) ; municipal.,	3,	5
vase,	A container (typically made of glass / metal / ceramics) that is used to hold flowers or decorative items.,	1,	4
emerge,	To come forth into view or notice; to become known or apparent.,	1,	6
evolve,	To develop gradually (especially from a simple to a more complex form).,	1,	6
promisee,	the person to whom a promise is made.,	4,	8
yardage,	The measurement of a yard or a quantity of yards (often used in the context of fabric or land).,	4,	7
mother,	A female parent; a woman in relation to her child or children.,	1,	6
museum,	A building or place where works of art / scientific specimens / other objects of permanent value are kept and displayed.,	1,	6
target,	An object or goal that is aimed at or sought.,	2,	6
travel,	To go on a journey or trip (typically over a considerable distance).,	1,	6
agricultural,	Relating to the practice of farming or cultivation of the soil.,	3,	12
benevolently,	In a kind and well-meaning manner; showing goodwill.,	4,	12
catastrophic,	Involving or causing sudden and widespread damage or disaster.,	3,	12
dehumanizing,	Treating someone or something in a way that removes their human qualities or attributes.,	4,	12
Extravagantly,	In a wasteful or excessively elaborate manner; exceeding what is reasonable or appropriate.,	4,	13
fluctuating,	Changing or varying (especially repeatedly and irregularly).,	3,	11
gesticulated,	Made gestures (especially with the hands) to emphasize or express something.,	4,	12
hypothetical,	Based on or involving a hypothesis; a supposition or assumption.,	3,	12
inquisitive,	Curious and eager to learn; showing an interest in acquiring knowledge.,	4,	11
judiciousness,	The quality of having good judgment or sound decision-making.,	4,	13
kaleidoscopic,	Having complex patterns of colors and shapes (like those in a kaleidoscope).,	4,	13
lamentations,	The passionate expression of grief or sorrow; mourning.,	4,	12
meticulously,	With great attention to detail; very thoroughly and precisely.,	4,	12
nostalgically,	In a sentimental or wistful way (often fondly recalling the past).,	4,	13
obliteration,	The act of destroying completely; the state of being utterly wiped out.,	4,	12
proliferated,	Increased rapidly in numbers; multiplied.,	4,	12
quintessence,	The pure and essential essence of something; the most perfect embodiment.,	4,	12
rambunctious,	Noisy / energetic / disorderly in a lively and unruly way.,	4,	12
translucently,	Allowing light to pass through but diffusing it to the point that objects on the other side are not clearly visible.,	4,	13
ubiquitously,	Existing or being everywhere at the same time; widespread.,	4,	12
vivaciously,	In a lively and animated manner; with high spirits.,	4,	11
whimsically,	In a quaint / playful / fanciful manner; capriciously.,	4,	11
xenophobically,	In a manner characterized by an intense dislike or fear of people from other countries.,	4,	14
yearningly,	In a manner expressing a deep longing or desire.,	4,	10
zoologically,	Relating to the study of animals; in a manner consistent with zoology.,	3,	12
